id	age	country	pd1	pd2	pd3	ps1	ps2	ps3	sl1	sl2	sl3	r1	r2	r3	t1	t2	t3	t4	um1	um2	um3	um4	um5	um6
2594254	27	US	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0
2595729	25	US	39	35.0	28.208529274482643	6	7.0	4.4293890697928235	34	44.0	21.528659448026186	2	3	6	88	563	400	263	0.1042	0.1863	0.3833	137	245	504
2008195	29	DE	32	34.5	27.506422991460088	9	10.0	6.1008836730758293	38	47.0	19.405748886518225	1	0	9	0	239	464	113	0.1028	0.4247	0.6524	84	347	533
2240642	31	US	15	12.0	11.153026495081951	9	9.0	7.4940142607186386	37	49.0	20.090689287473083	7	6	10	0	213	107	23	0.3924	0.6308	0.8081	135	217	278
1066173	51	US	121	139.5	48.580956917294252	8	10.0	3.7526849891909628	46	53.0	16.567682802909115	9	8	9	154	337	428	70	0.1576	0.5192	0.8606	156	514	852
3746297	27	US	9	10.0	6.8693158320170431	10	9.5	5.6124860801609122	40	44.5	13.5531361684298	4	4	11	0	23	30	0	0.2963	0.3704	0.963	16	20	52
2964265	29	US	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0
3160326	29	US	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0
3162021	27	FI	44	41.5	28.821494954782818	11	13.0	6.5450439265141682	42	54.0	20.728904939721243	1	3	12	24	295	581	363	0.0408	0.2863	0.4486	52	365	572
3784215	34	UK	2	1.0	2.1602468994692869	4	4.0	0.0	4	4.0	0.0	4	5	4	0	2	8	2	0.6154	0.9231	0.9231	8	12	12
2769779	33	US	8	6.0	10.275037172141465	12	12.0	6.9991181102327209	37	48.0	19.021105886246531	10	5	11	0	22	42	47	0.55	0.9417	0.5917	66	113	71
5604445	26	NL	41	25.0	38.439782308245775	12	13.0	5.7144655045226704	45	52.0	15.319985741416081	6	5	5	2	241	601	205	0.5045	0.6393	0.9116	565	716	1021
2749627	28	AT	55	49.5	36.939906154004596	11	12.0	7.3253268228990116	41	53.0	20.613702735909165	3	3	11	175	278	640	548	0.1197	0.4072	0.6131	207	704	1060
2337075	28	SE	43	33.0	34.644454493422387	8	9.0	5.0892419024607625	40	50.0	19.924059817174861	7	5	9	31	430	376	10	0.2677	0.6368	0.6745	227	540	572
2033209	34	JP	4	5.0	2.9580398915498081	9	9.5	1.5	51	54.5	6.5335671726859896	1	1	6	0	0	28	21	0.18	0.44	0.62	9	22	31
4262030	32	BR	41	36.0	31.609897114161367	10	9.0	6.1497358921509697	44	52.5	18.356545700695662	2	1	10	14	186	373	224	0.2092	0.4282	0.9072	169	346	733
2116258	28	US	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0
2598175	27	DK	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0
4201400	26	UA	12	14.0	11.513470371699404	11	10.5	1.3437096247164249	55	55.5	2.1147629234082532	1	5	9	0	0	55	22	0.1026	0.6538	0.9359	8	51	73
3148594	32	JP	4	4.5	3.5510561809129411	7	7.0	1.7853571071357126	45	43.0	8.7312298675501605	2	4	5	2	35	12	13	0.5652	0.7971	0.9855	39	55	68
9792751	25	HR	7	3.5	10.22901036568174	11	11.0	8.6277383955753546	35	47.0	22.406676942323088	2	6	12	11	75	81	4	0.1299	0.5141	0.8475	23	91	150
3256256	28	RU	52	45.0	43.347046035456678	9	10.0	6.3201016063740552	41	53.0	20.738777688026595	3	3	8	18	507	664	126	0.1608	0.5243	0.6559	215	701	877
5240132	30	SE	47	23.0	64.725540210612039	11	12.0	4.0145568456140541	48	54.0	15.617395927476371	11	10	11	83	179	330	141	0.3747	0.6547	0.7587	281	491	569
5234254	22	UK	11	3.5	14.277933148743903	9	9.0	6.7156533561523259	33	41.5	19.467601290349052	4	4	10	1	27	39	117	0.24	0.465	0.775	48	93	155
