f1	f2
-3.997402863711884038e+02	1.325949893587680606e+02
6.846747665439651200e+02	-5.522065840901750562e+02
-2.681849579035908278e+02	5.452685195235849847e+01
2.274413084384678712e+02	-2.097882974664861138e+02
-4.336948739060613889e+02	1.473836426277084115e+02
-4.336948739060491675e+02	1.473836426276918132e+02
-4.336948739060370599e+02	1.473836426277238445e+02
-4.336948739060601383e+02	1.473836426276893974e+02
-8.923286667490557988e+01	-1.093978243303803133e+01
-1.000874473836879019e+02	1.847708288887514527e+01
5.195928972864267053e+02	-7.310547454214083984e+01
7.903493109920693769e+02	-4.036459702334154258e+02
7.354313966231547965e+02	-2.913752742941742326e+02
-4.211546414829577145e+01	-6.573666448649250071e+01
3.741736782740184140e+02	-8.284041985897456328e+00
6.331324972531989488e+02	-3.402889636795320030e+02
-1.786398062479337057e+02	4.790152685130588850e+01
1.024453651477822177e+03	-5.228151658682915013e+02
-3.317211601624200625e+02	8.240641218362394227e+01
9.758285510082663450e+02	-3.772055151010798113e+02
6.012898591655931568e+02	-1.424055471756759346e+02
7.095052615555847808e+01	4.402737354553702431e+01
3.719988963852287611e+02	-1.100005403799791850e+02
1.722065305211579300e+02	-3.961459437108852910e+01
4.051231454301170061e+02	-3.679829861667516298e+02
7.231429632976502262e+02	-6.512968664308971256e+02
5.014342306942389627e+01	5.324814429432836782e+00
-3.094712404321643930e+02	7.231868590911209083e+01
-3.172832525227968290e+02	8.692848930814906794e+01
-2.913993803435918153e+02	8.059907546608366147e+01
2.091395618306644053e+02	-1.221459135575819133e+01
3.266849964908917627e+02	-1.239051699970338944e+02
-4.197791565034146402e+02	1.403163091278076138e+02
-2.640121284967393649e+02	8.551812061679274279e+01
-4.336948739060502476e+02	1.473836426276887721e+02
6.596573603728359103e+01	-5.763317016815800287e+01
-4.336948739060502476e+02	1.473836426276887721e+02
5.256632025029922488e+02	-3.299611103818884885e+02
2.026370075492007174e+02	-6.560978144858539807e+00
-3.440230370296075648e+02	1.211558907074278721e+02
-4.336948739060502476e+02	1.473836426276887721e+02
1.590192415230916140e+03	-7.643721888230385275e+02
-4.336948739060502476e+02	1.473836426276887721e+02
3.462787733269525461e+02	-7.147125617680558207e+01
-3.590153705203851331e+01	-1.789937592068433858e+01
-3.181304941711734386e+02	9.577905698832378789e+01
-1.543278937953502918e+02	1.952971410978454969e+01
3.586173304349409818e+02	-2.862598275415805347e+02
2.556315369363670413e+02	-5.658620944437684841e+01
-1.258082802094154431e+02	-2.298015146256842556e+01
2.152326447341866640e+02	-1.186843707799281162e+02
-4.336948739060502476e+02	1.473836426276887721e+02
-1.685497428996637268e+02	1.476990820259781856e+01
4.593236447707859043e+02	-6.564758546728567978e+01
7.193073031486489981e+02	-2.427032445566112244e+02
-4.336948739060502476e+02	1.473836426276887721e+02
-4.336948739060502476e+02	1.473836426276887721e+02
3.260472089772317759e+02	-1.840809324518401624e+01
-4.336948739060502476e+02	1.473836426276887721e+02
-3.818088846377270897e+02	1.301001260090596077e+02
-2.420578248804649490e+01	7.376009201053046915e+00
-1.751742793816639505e+02	4.107757542224900504e+01
2.551681410284923572e+02	-2.771166530328667932e+02
-3.007815880304142979e+02	1.303461745026062317e+02
-4.336948739060502476e+02	1.473836426276887721e+02
8.037805642925176242e-02	-1.381169959458458107e+00
6.092306820309688398e+00	-3.703617964300344845e+00
-4.336948739060502476e+02	1.473836426276887721e+02
-4.100400713881328443e+02	1.340833037407672066e+02
2.421768024861387403e+02	-1.343728921876672757e+02
-3.469407805770587743e+02	1.612169548031166926e+02
1.603256260666595608e+03	-8.228218085843622021e+02
-4.746671191088539743e+00	-1.539666497019100859e+02
-4.307449286659793870e+02	1.457869196672338887e+02
7.333274610280788011e+02	-4.200052123106704585e+02
-4.336948739060502476e+02	1.473836426276887721e+02
-1.377975222367171568e+02	-9.466018943812261055e-01
-4.336948739060502476e+02	1.473836426276887721e+02
-4.336948739060502476e+02	1.473836426276887721e+02
-3.672396215833612132e+02	1.232708562887156489e+02
1.924293632745031459e+02	-8.793158387671400078e+01
-3.423488592217080395e+01	9.301652914893137947e+00
-2.947055260966160972e+01	-3.483931883785255934e+01
-4.336948739060502476e+02	1.473836426276887721e+02
-3.777160926420802411e+01	-6.566398578466568381e+01
-2.817570902288136381e+02	1.020792782302564774e+02
1.692729997125328055e+03	-5.888271333203641689e+02
-1.313351736928672153e+02	-8.306243564343253283e+00
-4.087713074273073630e+02	1.395651768121769862e+02
-3.503687812212228891e+01	3.531821061243645143e+00
-4.336948739060502476e+02	1.473836426276887721e+02
-1.201535037123956187e+02	-1.161630097349667246e+01
-3.063366875164865064e+02	5.796009924442765282e+01
-3.657830331762282867e+02	1.271137126508606912e+02
-4.336948739060502476e+02	1.473836426276887721e+02
-2.923667122907564249e+02	7.872761389126388565e+01
2.700967208987626691e+03	-1.201844045277456416e+03
-4.336948739060502476e+02	1.473836426276887721e+02
-1.900036262780059246e+02	5.532625288481776948e+01
-4.336948739060502476e+02	1.473836426276887721e+02
-1.661868650769722251e+02	4.327722052534220154e+01
-4.336948739060502476e+02	1.473836426276887721e+02
4.415690149521050216e+02	-1.535302477454352470e+02
-4.084018135726489049e+02	1.234083942002468461e+02
-3.313736425393211675e+02	1.024401291038378474e+02
-1.981730146739253371e+02	6.539672488940567519e+01
-4.125870627474720322e+02	1.353949292437598046e+02
-1.605945701669970731e+02	7.386915593687994885e+00
-1.284099268840338937e+02	6.153596196939513163e+01
8.953169401207715055e+02	-3.434871335656357019e+02
