id	age	country	pd1	pd2	pd3	ps1	ps2	ps3	sl1	sl2	sl3	r1	r2	r3	t1	t2	t3	t4	um1	um2	um3	um4	um5	um6
2594254	27	US	0	0.0	0.0	2	2.0	0.0	0	0.0	0.0	2	2	2	0	1	0	0	0.5	0.5	0.5	1	1	1
2595729	25	US	30	26.0	24.199288327460284	5	6.0	4.4848737663750367	32	41.5	22.187899203907399	2	2	6	118	223	590	80	0.0761	0.1354	0.3864	77	137	391
2008195	29	DE	48	46.5	28.19742319000467	10	9.0	4.9489291290516322	47	52.0	13.557324783721901	4	1	9	0	428	658	204	0.3122	0.6073	0.9086	403	784	1173
2240642	31	US	10	10.0	6.5942569684314281	9	8.0	7.2863508761868649	37	49.0	21.251651477985924	8	8	9	5	113	186	25	0.2697	0.4455	0.4152	89	147	137
1066173	51	US	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0
3746297	27	US	42	52.5	25.311805546029309	14	15.0	5.4288324916341102	51	56.0	14.250487321102002	7	6	15	0	0	109	88	0.2929	0.4697	0.9444	58	93	187
2964265	29	US	0	0.0	0.0	10	10.0	0.0	35	35.0	0.0	10	11	12	0	0	11	0	0.5833	0.6667	0.9167	7	8	11
3160326	29	US	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0
3162021	27	FI	35	31.0	25.730440251879788	10	11.0	5.7452903910946524	40	54.0	21.935392016157223	1	2	10	7	234	541	156	0.0891	0.2333	0.4973	84	220	469
3784215	34	UK	21	14.0	20.360439582680918	11	8.0	13.281759094854099	23	14.5	21.115580231948542	0	0	7	0	236	132	109	0.1213	0.1904	0.6276	58	91	300
2769779	33	US	27	21.0	34.35090064321458	9	11.0	6.2113266306318726	34	44.5	22.769959911694293	8	7	9	15	127	75	17	0.4638	0.7277	0.7872	109	171	185
5604445	26	NL	46	44.0	29.553387378016218	10	11.0	6.9312089410663571	37	51.0	21.796693451068823	4	3	3	13	342	686	422	0.4438	0.6084	0.9023	663	909	1348
2749627	28	AT	57	51.5	32.164813929230817	12	13.0	7.0377511200952796	44	53.5	18.693575455583915	3	3	12	134	296	659	541	0.0908	0.4802	0.6956	158	836	1211
2337075	28	SE	21	17.0	15.568480979209243	6	6.0	5.3948277698798384	32	42.0	21.510333434060112	4	3	6	71	285	219	5	0.2272	0.5594	0.747	132	325	434
2033209	34	JP	26	30.0	14.005713120009277	10	11.0	6.2207897289709937	40	53.0	20.258390036325821	0	0	9	35	0	0	85	0.0135	0.0135	0.1622	2	2	24
4262030	32	BR	31	30.0	27.127815381024302	11	12.0	5.3345354135941108	42	54.0	18.247867281850002	1	2	12	100	2	190	158	0.1165	0.4195	0.7436	55	198	351
2116258	28	US	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0
