id	age	country	pd1	pd2	pd3	ps1	ps2	ps3	sl1	sl2	sl3	r1	r2	r3	t1	t2	t3	t4	um1	um2	um3	um4	um5	um6
2594254	27	US	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0
2595729	25	US	21	20.5	13.119154783072814	5	5.0	4.6258039749070763	30	37.5	21.483674457028599	2	2	5	154	236	266	55	0.1531	0.2669	0.4719	109	190	336
2008195	29	DE	24	20.0	20.523878576836655	9	10.0	5.3748384988656994	41	52.0	19.734788867472332	5	0	7	0	132	216	9	0.4777	0.7486	0.9078	171	268	325
2240642	31	US	18	18.0	11.151531417220038	10	10.0	8.3860615577633304	33	40.0	20.322713584261145	7	8	10	66	214	260	52	0.3541	0.5447	0.7437	210	323	441
1066173	51	US	38	32.0	25.635880072808853	8	9.0	5.1929326910314249	40	50.0	19.794976180711313	7	7	8	41	194	550	94	0.1477	0.4489	0.8739	130	395	769
3746297	27	US	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0
2964265	29	US	57	60.0	36.411772471485584	11	12.0	4.882372896877774	46	54.0	16.676764519126266	9	8	10	326	623	208	25	0.2967	0.5824	0.705	351	689	834
3160326	29	US	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0
3162021	27	FI	32	28.0	30.749887081996832	8	10.0	5.7062247110233493	38	51.0	21.724313336678875	2	3	8	21	162	442	304	0.1215	0.2623	0.5299	114	246	497
3784215	34	UK	12	12.0	9.0382520433986571	8	4.0	10.156117474921805	23	17.0	21.299362694612956	0	0	6	2	135	102	68	0.0455	0.2597	0.711	14	80	219
2769779	33	US	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0
5604445	26	NL	28	27.0	20.457548633110953	9	10.0	7.2860637236210746	35	50.0	22.763410102754218	4	3	5	2	288	443	139	0.2043	0.5778	0.7753	180	509	683
2749627	28	AT	48	47.0	34.773231083694249	10	10.0	6.8804207019568819	39	51.0	20.874836290858241	1	2	9	36	383	486	375	0.1043	0.5609	0.7808	137	737	1026
2337075	28	SE	33	30.5	18.261792232843838	7	7.0	5.6259665280963338	33	43.0	21.632354637910815	4	4	7	161	338	331	17	0.2394	0.5731	0.7358	203	486	624
2033209	34	JP	9	11.0	7.4087035902976233	7	6.0	4.8476798574163293	24	19.5	17.526765246331109	0	4	7	0	0	19	18	0.25	0.3	0.75	10	12	30
4262030	32	BR	15	15.0	11.353841738469944	10	11.0	5.4350649081271838	44	55.5	19.574466077577242	0	1	9	0	41	133	122	0.1313	0.2357	0.7744	39	70	230
2116258	28	US	87	79.0	66.879668061377217	16	13.0	13.128028182744817	37	49.0	21.961223026152432	4	3	8	792	706	1022	226	0.1043	0.4314	0.4204	294	1216	1185
2598175	27	DK	39	31.5	44.456098283095123	12	13.0	7.8308684065051164	41	50.5	19.155547499353808	9	9	12	65	330	378	314	0.3122	0.4977	0.8935	340	542	973
4201400	26	UA	50	63.0	37.025516726831633	10	11.0	3.3517719194479807	54	55.0	1.6286017775994228	1	5	9	4	9	128	37	0.178	0.6073	0.8639	34	116	165
3148594	32	JP	42	39.5	29.393611125549036	8	8.0	5.5899851416884418	38	48.0	19.933119580194841	3	2	7	24	258	322	383	0.2984	0.7233	0.7762	316	766	822
9792751	25	HR	10	6.0	10.932279690395088	7	7.0	6.1345458724525388	28	26.0	23.309146842615505	2	4	8	0	97	96	39	0.1974	0.3648	0.7682	46	85	179
3256256	28	RU	51	44.5	37.574389026886408	10	11.0	6.6341377374837318	43	53.0	18.481514182216483	6	6	9	98	508	429	217	0.2172	0.4996	0.5549	283	651	723
5240132	30	SE	12	5.0	16.023420358962067	9	12.0	5.727128425310541	29	26.0	21.562931155109688	9	8	9	0	0	33	20	0.6667	0.7778	0.9444	36	42	51
5234254	22	UK	13	8.5	13.790848414800301	7	8.5	5.7740800133008197	34	47.0	21.678041885742356	2	3	8	34	30	184	96	0.1995	0.4717	0.8167	74	175	303
519	39	US	25	23.0	18.856236526800132	12	12.0	5.5325931331392439	48	53.0	14.934280273007042	11	10	12	12	199	462	66	0.3297	0.5446	0.8432	244	403	624
5202459	31	US	55	52.0	36.440331238680855	10	11.0	6.0506854483614543	43	51.0	17.798189068706389	2	1	8	483	469	368	289	0.1614	0.2527	0.8057	265	415	1323
591	33	SE	22	17.0	18.434784236363328	8	7.0	6.7869200479322149	30	33.0	22.133720345138574	4	4	8	17	281	187	15	0.2335	0.523	0.7505	117	262	376
3556991	33	DE	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0
3463909	29	PL	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0
694	37	FR	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0
2952884	30	CA	18	11.0	18.217817895919616	12	12.0	5.4746980135072603	44	53.0	17.234591433176245	9	10	12	31	23	22	153	0.5878	0.813	0.9198	154	213	241
2950766	26	US	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0
5415018	27	UK	30	25.0	26.274690768874901	9	10.0	7.1976076272297282	36	48.0	22.259759962323194	2	3	7	0	280	308	196	0.2306	0.5656	0.6726	181	444	528
5233502	23	JP	20	9.5	24.996199711156095	11	9.0	10.461240158497551	27	16.0	22.691631792285008	8	1	8	25	131	176	134	0.431	0.6454	0.6178	203	304	291
2658788	25	US	23	16.0	24.367305053196905	12	11.0	9.5737567011456122	39	50.0	19.75011209417023	8	8	11	178	348	155	25	0.2729	0.4626	0.7659	197	334	553
2444850	29	SE	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0
4629740	23	US	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0
5109919	37	RU	5	5.0	3.2126293988446575	4	4.0	4.1580351367379169	19	11.0	21.016325806696639	1	1	2	9	17	18	9	0.2586	0.8103	0.9828	15	47	57
8155835	24	ES	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0
12863497	25	US	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0
2911201	24	BR	18	14.5	20.491190519071576	10	10.5	5.528109984434102	43	50.0	17.459954180924989	1	2	9	0	0	57	64	0.1095	0.1825	0.9051	15	25	124
1264	37	PT	167	186.0	69.400833022787538	11	12.0	4.9148809516453511	51	54.0	8.9867260620568832	2	1	10	1493	1237	1107	918	0.1929	0.455	0.8094	982	2316	4120
1347	37	DE	27	26.5	13.081534436367798	9	9.5	7.5156087577787067	36	47.0	21.400285564034473	1	1	7	0	269	248	7	0.221	0.4171	0.7543	116	219	396
1443	28	AR	0	0.0	0.0	1	1.0	0.0	0	0.0	0.0	2	1	2	0	0	1	0	0.5	0.5	0.5	1	1	1
