f1	f2
-2.467063504723192011e+02	1.340660520475933914e+01
2.065995893590408343e+02	6.167750016566684224e+01
-1.510187595904978650e+02	2.432503934827562730e+01
-1.936360859868335069e+02	2.112840522605446480e+01
1.536771868623394539e+03	-2.817971806710147575e+02
-2.467063504721932929e+02	1.340660520494787633e+01
-2.102110868836816167e+02	1.207473499015017993e+01
-2.467063504721671165e+02	1.340660520496400565e+01
2.718309050844662522e+01	-1.911322673659695113e+02
-2.467063504721798495e+02	1.340660520494335373e+01
-2.467063504721724883e+02	1.340660520493610086e+01
1.544483524777472212e+03	-2.037542773140866359e+02
9.747726506469808783e+02	-1.537504555041427352e+02
3.753403479226387276e+02	4.414606215250740462e+01
-2.467063504722722485e+02	1.340660520490929919e+01
8.217451501330912151e+02	-3.224116685016396104e+02
7.624510887277907614e+02	9.611811095287021089e+01
1.571169779758534332e+03	-2.790068683128337739e+02
2.871742783341611016e+02	-2.308724164525549227e+01
1.060939059245592716e+03	3.065562436704436067e+01
4.435902971004139772e+00	-1.282849025226038009e+01
4.758836661151909766e+02	-1.235565749375657987e+02
-2.467063504721608922e+02	1.340660520495038099e+01
4.430893493538189176e+01	8.930596387572162342e+00
-2.467063504721608922e+02	1.340660520495038099e+01
-2.220227453460006473e+01	-1.441855585727644851e+01
6.053884620821612828e+01	-7.377286605836732747e+01
-2.467063504721608922e+02	1.340660520495038099e+01
-2.467063504721608922e+02	1.340660520495038099e+01
-2.467063504721608922e+02	1.340660520495038099e+01
4.773734125055177628e+02	8.487998466834434907e+01
-2.467063504721608922e+02	1.340660520495038099e+01
-2.467063504721608922e+02	1.340660520495038099e+01
-4.515374653105632063e+01	7.452355109829839819e+01
1.967964329889844635e+02	9.864762966944502409e+01
-2.467063504721608922e+02	1.340660520495038099e+01
-2.467063504721608922e+02	1.340660520495038099e+01
3.852620259179569757e+02	4.559671473531675190e+01
-2.467063504721608922e+02	1.340660520495038099e+01
-2.467063504721608922e+02	1.340660520495038099e+01
-8.594962613189004230e+01	-1.287303025008004376e+01
2.260352235261859278e+03	3.202569881207087974e+02
7.388505052425463191e+02	-7.809371371396699146e+01
-2.433687750952645672e+02	1.385547937299899068e+01
5.686683229337294279e+02	9.085415229496144107e+00
-2.467063504721608922e+02	1.340660520495038099e+01
-2.467063504721608922e+02	1.340660520495038099e+01
-2.467063504721608922e+02	1.340660520495038099e+01
