id	age	country	pd1	pd2	pd3	ps1	ps2	ps3	sl1	sl2	sl3	r1	r2	r3	t1	t2	t3	t4	um1	um2	um3	um4	um5	um6
2594254	27	US	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0
2595729	25	US	51	49.0	23.609553790296399	6	7.0	4.5900064865202541	36	44.0	20.206881255709877	2	2	7	129	947	269	331	0.0847	0.3309	0.393	142	555	659
2008195	29	DE	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0
2240642	31	US	22	19.5	20.283545602833403	8	8.0	6.1896392745482745	35	48.0	22.580676384541263	8	8	9	43	384	283	27	0.0488	0.2642	0.3293	36	195	243
1066173	51	US	47	24.0	47.69230079955836	10	10.0	2.7092370508916117	51	54.0	5.0007784861087412	11	10	11	82	120	171	10	0.2526	0.6771	0.9453	97	260	363
3746297	27	US	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0
2964265	29	US	12	12.0	12.0	6	6.0	4.2646805273079949	23	22.5	14.411367041332339	5	4	5	0	0	31	0	0.5625	0.75	0.9375	18	24	30
3160326	29	US	11	11.5	11.5	9	6.0	5.4365021434333638	42	43.0	12.256517540566822	10	7	8	12	0	6	19	0.9474	0.9474	0.9737	36	36	37
3162021	27	FI	21	19.0	18.916923639957954	10	11.0	6.9551297144217878	38	49.0	21.302324329805828	3	5	10	4	172	282	240	0.2026	0.4379	0.6106	142	307	428
3784215	34	UK	20	14.5	21.05386677364633	9	11.0	7.0770729074596934	35	46.0	23.013907933610298	3	3	9	23	44	100	174	0.3209	0.4441	0.8797	112	155	307
2769779	33	US	21	12.0	20.679006305312353	6	5.0	5.9874869519690819	30	36.0	22.919846749051356	5	3	5	59	109	61	54	0.5466	0.7685	0.7814	170	239	243
5604445	26	NL	21	23.0	14.341809509263467	7	5.5	6.8004480550916639	28	31.5	23.138762796441817	7	6	5	1	49	57	20	0.446	0.6403	0.9065	62	89	126
2749627	28	AT	36	29.0	28.557660968643773	9	9.0	7.3484152377669512	37	50.0	21.538366002957734	3	4	10	11	207	447	104	0.1639	0.4625	0.7433	129	364	585
2337075	28	SE	6	5.0	7.7044159214932062	10	7.0	7.5943050628582931	32	40.0	15.980855893913843	7	6	11	0	5	39	38	0.4337	0.7952	0.9518	36	66	79
2033209	34	JP	4	3.0	4.1899350299921778	9	9.0	2.0	43	43.0	14.0	1	1	9	0	0	4	11	0.2	0.3	0.9	4	6	18
