f1	f2
-4.164274358278254908e+02	1.946336026798884689e+01
4.573538413811816099e+02	-6.055521046390316542e+01
-3.648985762401517263e+02	3.811360097484256926e+01
-1.054782196972386004e+02	6.570949108921236359e+01
-4.180848095280405232e+02	1.879309415649613513e+01
-2.603342695540162026e+02	1.089359419598381038e+02
-3.593902266606109492e+02	3.546668205435671695e+01
-4.180848095280495613e+02	1.879309415650050852e+01
3.716931202145640327e+02	-1.487351916279140482e+02
3.497165337714507700e+02	-6.364721405282766398e+01
1.162788921736523093e+02	-3.458915752924025355e+01
7.910712471554166996e+02	7.126881916436829556e+01
7.351265284109198319e+02	-3.906657554593530790e+01
-7.464915327298818681e+01	3.709155164465111909e+01
1.107083183173701855e+02	1.294979903720730476e+02
3.606988343172249074e+02	-2.890957318545297383e+01
-2.769419012173587475e+02	5.720244276296995878e+01
1.070920005884029479e+03	-2.193948867106395824e+02
-1.877793701913928146e+02	-8.985902379594025158e-01
1.677206064837655504e+03	2.282831230043402684e+02
1.052606675935188889e+02	-1.740679325398786403e+01
-2.026230406146257792e+02	5.218335087807187733e+01
3.928891874374594408e+02	-8.331620771524799807e+01
-4.180848095280410348e+02	1.879309415648405235e+01
2.801146712690231766e+02	3.960140827569689748e+01
1.155602018326859024e+03	2.163157936546384690e+02
-3.328164179716473825e+01	-7.389908531492822341e+00
-3.689511180328981368e+02	-1.911402779402585350e-01
2.991399452821885916e+02	-7.958157648068347356e+00
-3.064147620830414098e+02	4.561496758167020715e+00
7.790999600885953669e+02	9.705259261379424629e+01
-1.761142958608888307e+02	-4.618758331926938610e+01
7.217222565057968495e+02	-3.588439104052406492e+01
-1.669389056159986922e+02	4.921116940846124521e+01
-4.180848095280410348e+02	1.879309415648405235e+01
3.046850593151055477e+02	-1.129940330240433042e+02
-1.721466802924336719e+02	2.473241955786018664e+01
-1.608207071693009595e+02	3.825024275263999129e+01
-1.434195319667174431e+02	-1.813826143621514930e+01
-4.180848095280410348e+02	1.879309415648405235e+01
-4.252879160691470872e+01	-1.668803858637932365e+02
7.652229893751513146e+02	-1.438722051967021400e+02
-4.180848095280410348e+02	1.879309415648405235e+01
6.045752816601601580e+02	1.456293707019128725e+01
7.227212629981549785e-01	-3.171612200216017996e+01
-4.097017233318073863e+02	1.895863075523677921e+01
-4.120345889873633496e+02	1.724944750107516711e+01
2.856286020214014343e+02	-1.522112226621365139e+00
5.561579570537626296e+02	2.360077847248245320e+01
-7.782786971926022090e+01	-1.067531960523912886e+02
2.296837157896204076e+02	-1.500779308185393290e+02
-4.180848095280410348e+02	1.879309415648405235e+01
-6.155462432368007342e+01	5.892659290682858142e+01
-3.959359603751422441e+01	6.855176073616163990e+01
-1.969266517057584167e+02	3.609594198737311643e+01
-4.180848095280410348e+02	1.879309415648405235e+01
-3.651629246051793984e+02	1.753077817548858519e+01
-4.028328988261584982e+02	2.451390209268179987e+01
-4.180848095280410348e+02	1.879309415648405235e+01
-3.996264147149216228e+02	1.015087744576758411e+01
1.348410856169049907e+02	-8.200032708193144515e+01
-7.865959837234180441e+01	-6.313826950405194260e+00
3.559179044183820793e+02	8.676218096270559954e+01
9.361495698569596868e+01	5.010427749145451060e+01
-4.180848095280410348e+02	1.879309415648405235e+01
-6.851478909407529727e+01	-4.065400267576386284e+01
2.257202196352092471e+01	1.111786113662779911e+02
-4.180848095280410348e+02	1.879309415648405235e+01
-3.589477519882130423e+02	2.969439331481602906e+01
1.056345635782109412e+03	-1.682573778335393300e+01
-1.279824061855248374e+02	3.507009511999499551e+01
2.105621463234053863e+03	2.404953411505131271e+02
-5.747505640227259960e+00	9.279474913262855296e+01
-1.744879756679417255e+02	3.902380840371325377e+01
6.980815784564225623e+02	-1.615480648614306745e+02
-3.082686776407249454e+02	3.654326078243850873e+01
2.849630754406556434e+02	1.527427903548615262e+01
-3.821058666601782079e+02	2.738026743196248347e+01
-4.180848095280410348e+02	1.879309415648405235e+01
-4.180848095280410348e+02	1.879309415648405235e+01
1.625640929820960707e+02	9.025208591111363887e+01
-2.465474539118235953e+02	2.308609531948984994e+01
-3.445546111480464333e+02	3.429146251089152031e+01
-3.520985066003144084e+02	1.159838112953396561e+01
-1.925801162815037912e+02	2.247149751822109920e+01
-3.553500981267603152e+02	2.212400331209765625e+01
1.813133864164244642e+03	-2.851371313774113787e+02
1.309159770155534375e+02	5.117844253719804470e+01
-3.963371049526853085e+02	3.003715897916835331e+01
7.398691476563228662e+02	4.200742835894908467e+01
-4.180848095280410348e+02	1.879309415648405235e+01
6.113112886104356676e+02	3.005145874766054135e+02
-4.180848095280410348e+02	1.879309415648405235e+01
-4.180848095280410348e+02	1.879309415648405235e+01
-4.180848095280410348e+02	1.879309415648405235e+01
-3.436315454159379783e+02	1.408812450147953399e+01
2.953272622346161370e+03	-8.043277636049050727e+01
-4.180848095280410348e+02	1.879309415648405235e+01
-9.773184177949958951e+01	1.192776478773409643e+01
