id	age	country	pd1	pd2	pd3	ps1	ps2	ps3	sl1	sl2	sl3	r1	r2	r3	t1	t2	t3	t4	um1	um2	um3	um4	um5	um6
2594254	27	US	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0
2595729	25	US	58	58.5	30.935129258210996	7	8.0	4.7377157379082124	39	50.0	20.393413192815292	3	4	7	178	799	609	277	0.0746	0.287	0.4206	139	535	784
2008195	29	DE	23	21.0	17.411300606871102	8	8.0	6.0728905802755913	35	47.0	22.209291348942727	4	3	8	4	235	211	267	0.2885	0.533	0.6868	210	388	500
2240642	31	US	27	30.0	15.987235392704084	10	10.0	6.3217327553247467	40	52.0	19.7901647784402	8	7	11	0	337	131	31	0.234	0.482	0.87	117	241	435
1066173	51	US	55	30.0	61.766196420161982	11	9.0	13.816154822089693	38	48.0	19.716371563289009	7	7	7	175	514	879	127	0.1763	0.4564	0.6386	299	774	1083
3746297	27	US	29	29.0	19.634726668570686	17	16.0	11.804098216038255	42	54.0	20.712684667190029	3	3	14	196	75	250	0	0.1667	0.3736	0.8544	87	195	446
2964265	29	US	0	0.0	0.0	2	2.0	0.0	28	28.0	0.0	3	3	3	0	0	0	2	0.6667	0.6667	0.6667	2	2	2
3160326	29	US	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0
3162021	27	FI	23	14.0	24.235379097509494	11	12.0	5.8514228445358105	42	52.5	20.184812342589559	2	5	11	0	32	322	245	0.1452	0.429	0.7921	88	260	480
3784215	34	UK	30	29.0	28.653950668082206	15	10.0	16.527969546054244	35	43.0	21.323873856640173	1	1	10	0	85	157	266	0.057	0.3124	0.668	29	159	340
2769779	33	US	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0
5604445	26	NL	63	59.5	49.087541542573476	11	12.0	7.1357717082434711	41	52.0	19.596412133268547	5	4	7	14	504	833	493	0.2297	0.5694	0.7484	430	1066	1401
2749627	28	AT	47	44.5	31.390656784038995	9	9.0	7.2529625988731823	36	45.0	20.873975204895711	2	3	10	237	186	510	448	0.1875	0.4754	0.7547	282	715	1135
2337075	28	SE	23	22.0	15.043049336266014	10	11.0	4.9938437766662656	44	51.0	16.925429273921527	3	4	10	13	191	145	25	0.1256	0.5026	0.6872	49	196	268
2033209	34	JP	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0
4262030	32	BR	20	13.0	19.999333322221851	9	10.0	5.7496316378932093	38	52.0	20.90309445769342	1	1	9	0	12	94	183	0.079	0.3526	0.8571	26	116	282
2116258	28	US	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0
2598175	27	DK	38	38.0	22.562356201322856	12	13.0	7.490342088941933	40	50.5	20.064684217160632	10	10	13	6	86	366	406	0.312	0.5432	0.8956	278	484	798
4201400	26	UA	6	2.0	10.307278981380099	7	4.0	6.0991802727907629	23	12.0	21.655484293822663	2	5	7	0	15	17	10	0.2093	0.6744	0.9302	9	29	40
3148594	32	JP	25	23.0	22.927152483194554	11	11.0	4.4662624195181362	48	54.0	16.267375326093632	4	6	11	81	65	67	13	0.2292	0.6522	0.8735	58	165	221
9792751	25	HR	19	12.0	19.148586562640563	11	10.5	9.8518692564591461	34	40.5	21.63441727835388	2	4	10	42	173	291	137	0.0938	0.3943	0.692	63	265	465
3256256	28	RU	72	50.0	75.131525298971539	16	14.0	10.617755110564339	45	53.0	16.840380747455562	7	4	8	181	276	558	187	0.4179	0.6918	0.7022	522	864	877
5240132	30	SE	59	58.0	39.423912768257587	11	12.0	4.3203015334555799	48	55.0	15.475666771255828	11	10	11	12	450	637	235	0.2082	0.4944	0.5513	278	660	736
5234254	22	UK	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0
519	39	US	19	16.0	17.258258892483912	10	11.0	7.7010100347652815	39	53.5	22.394660822020352	6	6	11	2	71	272	74	0.2786	0.4333	0.9095	117	182	382
