f1	f2
-2.946217478319243241e+02	1.035436004862381765e+01
5.450248145444636521e+02	-2.920693962215229931e+02
4.966764400209403902e+02	-2.217394489624668665e+02
1.262448074035083891e+02	-3.410211053653207092e+00
8.413612821872036420e+02	-4.874829470164947054e+01
-2.283656009003962311e+02	-1.712379024456663679e+00
-2.946217478321562453e+02	1.035436004846657987e+01
-2.946217478321619296e+02	1.035436004846011571e+01
6.412230475777871561e+02	-3.576628563266928040e+02
-2.747926733347359800e+02	1.059570559584608063e+01
-1.417884460890278149e+02	1.956599869349221876e+01
1.179758275413243382e+03	-1.669664646549111620e+00
1.253618178116044646e+03	-1.476228349238031115e+02
6.531954173968131272e+02	-1.088814097618889463e+02
-2.440694228600452504e+02	-2.013412632235720423e+00
6.312212680787176851e+02	-7.743841278972180930e+01
-2.946217478321812564e+02	1.035436004845176861e+01
-2.946217478321833596e+02	1.035436004845509750e+01
-1.917048935012079198e+02	-8.065924299377291717e+00
-1.947338176946012140e+02	2.364025006958781816e+01
-9.355967828349606918e+01	-1.624811550416921690e+01
1.074339971393921815e+03	-2.740194728264242485e+02
5.996967007237193457e+02	1.814982727993515610e+01
-8.431317137148418794e+01	1.887277012553367328e+01
1.099343378870727577e+02	-9.765714216168024819e+00
1.231539582809435387e+03	-8.367964990975275441e+01
1.975150311070074451e+02	-3.450812837128582800e+01
-2.946217478321672729e+02	1.035436004846139646e+01
4.057542298979399789e+02	-7.044251711055757426e+01
-2.946217478321672729e+02	1.035436004846139646e+01
1.118940624984478973e+03	2.082934220017583584e+02
2.472848835558756662e+02	2.424325658664562155e+01
5.010595662945127771e+01	5.584473886680659582e+00
5.224677365419659480e+01	8.168646957908856621e+01
2.723213435834983329e+02	2.313063358758237342e+01
-2.946217478321672729e+02	1.035436004846139646e+01
-2.946217478321672729e+02	1.035436004846139646e+01
2.018544763738369454e+02	8.530570757485006084e+01
-2.946217478321672729e+02	1.035436004846139646e+01
-2.946217478321672729e+02	1.035436004846139646e+01
2.767850807789104550e+01	-4.581189923403906761e+01
5.603923785194287120e+03	9.297006029400973830e+02
1.162717524912901155e+02	-5.143567071174147998e+01
-2.946217478321672729e+02	1.035436004846139646e+01
7.972526725865308208e+02	-2.776303327281792690e+02
1.565872696770272512e+02	-1.622015138540618864e+02
-2.946217478321672729e+02	1.035436004846139646e+01
2.987052894284809668e+01	-3.889919481062234752e+01
3.106014052080199122e+02	2.048092495517477474e+01
3.729729400495344294e+01	-3.203557553435276706e+00
1.804754321195581213e+02	-5.706256265442331710e+01
-2.946217478321672729e+02	1.035436004846139646e+01
-2.037391210166807696e+02	1.710845812428079782e+01
-2.105482837676659926e+02	2.176023759820906456e+00
-9.729708132320487834e+01	-3.689086327651295250e+01
-2.181078067228828559e+02	2.245295244110114297e+01
-2.946217478321672729e+02	1.035436004846139646e+01
-1.703551840038415719e+02	-2.342941357907315947e+01
-2.946217478321672729e+02	1.035436004846139646e+01
-2.813200795793859470e+02	1.047414998560803845e+01
3.194174197398372712e+02	-1.875006763101176546e+02
-1.339311822119739759e+02	6.886176631161296413e+00
-2.615936252994304709e+02	1.090650345669405752e+01
-1.680945953717053953e+02	2.182239550795833427e+00
-2.946217478321672729e+02	1.035436004846139646e+01
-1.338400842423836821e+02	-2.918149982359575390e+01
-2.946217478321672729e+02	1.035436004846139646e+01
-2.946217478321672729e+02	1.035436004846139646e+01
-2.946217478321672729e+02	1.035436004846139646e+01
9.697853675653434493e+02	-7.799405154110108640e+01
-1.705674415496861798e+02	-1.583875501416311771e+01
-2.946217478321672729e+02	1.035436004846139646e+01
-2.946217478321672729e+02	1.035436004846139646e+01
-2.946217478321672729e+02	1.035436004846139646e+01
5.464506292737529520e+02	-5.289328029396904896e+01
-2.946099484059768088e+02	1.032942618998477258e+01
-2.946217478321672729e+02	1.035436004846139646e+01
1.271103954618603666e+03	2.586299319626652959e+02
-2.946217478321672729e+02	1.035436004846139646e+01
-2.946217478321672729e+02	1.035436004846139646e+01
-2.435385900063214137e+02	1.997199665502116162e+01
-2.946217478321672729e+02	1.035436004846139646e+01
-1.843964292159566014e+02	3.118897882253475373e+01
-2.946217478321672729e+02	1.035436004846139646e+01
-2.786622835875388660e+02	7.256529434657898570e+00
-2.946217478321672729e+02	1.035436004846139646e+01
8.699134485453373600e+02	-1.920838498055183834e+02
-2.020212905206712719e+02	-3.612645613356270502e+01
-2.946217478321672729e+02	1.035436004846139646e+01
-2.946217478321672729e+02	1.035436004846139646e+01
-2.946217478321672729e+02	1.035436004846139646e+01
2.007777212167475156e+01	-4.773814199055430585e+00
-2.946217478321672729e+02	1.035436004846139646e+01
-1.564644772363875234e+02	1.279256995105935069e+01
-2.946217478321672729e+02	1.035436004846139646e+01
-2.946217478321672729e+02	1.035436004846139646e+01
2.504900283270701038e+03	-7.418006368672905637e+01
-2.946217478321672729e+02	1.035436004846139646e+01
-1.102523571232792676e+02	3.395078474316444783e+01
-1.162792069876632866e+02	-2.417344544767215098e+01
6.271093560811933685e+02	3.517544757844024161e+01
-2.876969008054398955e+02	1.094462274133019086e+01
-2.946217478321672729e+02	1.035436004846139646e+01
-2.946217478321672729e+02	1.035436004846139646e+01
7.075434720584073602e+02	1.817279038587629429e+02
-1.954914526499018166e+02	-9.165395066657083589e+00
-2.946217478321672729e+02	1.035436004846139646e+01
-1.601717280506780696e+02	-4.071858182052191744e+00
-2.946217478321672729e+02	1.035436004846139646e+01
-2.114794593719933289e+02	2.631517663756063641e+01
-2.946217478321672729e+02	1.035436004846139646e+01
1.028533018929580749e+03	-1.800461533801005771e+02
-2.946217478321672729e+02	1.035436004846139646e+01
-6.308889371044035954e+01	-1.886744903589202238e+01
-2.946217478321672729e+02	1.035436004846139646e+01
-2.946217478321672729e+02	1.035436004846139646e+01
-2.446524780648136073e+02	1.766504289435557951e+01
-2.658863207711412997e+02	-9.423532007240233099e+00
-2.065339837342041562e+02	2.384388594513810844e+01
-6.261894577153366725e+01	2.955702491565893197e+01
6.794533801684304990e+02	-2.084681936425170790e+01
4.929490134417982858e+02	-3.437272573231257411e+01
-2.946217478321672729e+02	1.035436004846139646e+01
1.119724489296686670e+03	-6.589809756897687976e+01
-2.946217478321672729e+02	1.035436004846139646e+01
-7.520478297106159005e+01	3.775632725610527540e+00
-6.254826512606113909e+01	1.129573059981775884e+02
-2.946217478321672729e+02	1.035436004846139646e+01
2.248616344377841472e+02	-3.667375596748662758e+01
7.203703450380629647e+02	-2.079404151483389853e+02
-2.946217478321672729e+02	1.035436004846139646e+01
8.731194483737142775e+01	9.921830134281978530e+01
-2.946217478321672729e+02	1.035436004846139646e+01
5.404260130550183021e+02	-5.890253087574996016e+01
-2.946217478321672729e+02	1.035436004846139646e+01
1.037762265522517737e+03	-9.404954629292944901e+01
-2.946217478321672729e+02	1.035436004846139646e+01
-2.984397738765811781e+01	-6.372779051590164556e+01
-2.019663839294869945e+01	5.131657701596759580e+01
-2.717691802605447720e+02	1.497552397130851354e+01
-2.946217478321672729e+02	1.035436004846139646e+01
1.325132408517669091e+02	1.458135503750120563e+02
-1.816709071414998675e+02	4.543679791251117450e+01
8.598035457882843957e+02	-2.346894547031709521e+01
8.230295331339174254e+02	1.629842538532984122e+02
4.261150268331603002e+02	-1.744365641921003274e+01
8.250397360540853242e+02	-7.387911496388188937e+01
2.906117630169218842e+02	-7.204192494987066198e+01
-8.765487933332161674e+01	6.020223988885592092e+01
3.144251279551784819e+02	-8.073182285301733430e+01
-2.853539292320791105e+02	9.167631379335661634e+00
1.582909957774537979e+01	-1.805368791119148852e+01
-2.946217478321672729e+02	1.035436004846139646e+01
1.936617977579023204e+02	7.625158774267371875e+00
-2.946217478321672729e+02	1.035436004846139646e+01
-2.452929102020293897e+02	5.992659419661553244e+00
-2.946217478321672729e+02	1.035436004846139646e+01
-2.946217478321672729e+02	1.035436004846139646e+01
-2.946217478321672729e+02	1.035436004846139646e+01
1.410284827149505986e+02	-2.994205430926724887e+01
9.468832014595242299e+02	-9.195590777041568131e+00
-2.946217478321672729e+02	1.035436004846139646e+01
-1.410043656927485927e+02	3.739588930198565464e+01
6.301671301650085155e+01	-2.348598702132192528e+01
1.868730654127076832e+03	-5.560345996268506497e+01
8.638701021107925726e+02	2.635745362983659561e+02
-2.946217478321672729e+02	1.035436004846139646e+01
7.418758748207909370e+00	8.072537147581506645e+01
-2.946217478321672729e+02	1.035436004846139646e+01
-2.946217478321672729e+02	1.035436004846139646e+01
1.471619240472845149e+03	-4.406227820793896512e+02
1.786801316667227297e+02	5.995458685256883768e+01
-2.946217478321672729e+02	1.035436004846139646e+01
-2.946217478321672729e+02	1.035436004846139646e+01
1.153494404553318446e+02	4.356278553301151391e+01
-2.946217478321672729e+02	1.035436004846139646e+01
4.582894188402454461e+02	-5.626124836392991213e+00
-2.946217478321672729e+02	1.035436004846139646e+01
3.739309315776168887e+02	-4.336324319070378408e+01
