f1	f2
-2.407718817068222563e+02	1.035268669202968717e+01
2.807783231272196645e+02	-8.571612896176620211e+01
2.807244784734299401e+02	6.864888560226630432e+01
9.738453129797242980e+01	7.787626002454945251e+01
1.856004032201152768e+03	-4.151564673112605419e+02
-2.407718817063755807e+02	1.035268669198353209e+01
4.769342439803617140e+01	-2.979909310313751547e+01
-2.407718817063739607e+02	1.035268669199724734e+01
3.300170344821970048e+02	-1.034145029416385242e+01
-1.124910577381602792e+02	-1.039168971909558614e+01
-2.407718817063706922e+02	1.035268669198914004e+01
7.668133447195511962e+02	-6.740401428900862690e+00
5.775473782075265490e+02	4.529624082585186073e+01
5.010713060613724110e+02	8.005417628964414689e+01
-2.407718817063870915e+02	1.035268669198199021e+01
6.023862795924263764e+02	-2.245921589666715761e+02
1.323420946062967687e+03	8.238007105693344556e+01
1.603865045071265968e+03	-1.617918754103165497e+02
1.147250301855653731e+02	6.440936194023577421e+00
4.798609026847676091e+02	6.130703033592396167e+01
6.167512154927935697e+00	-6.718955849656776991e+01
5.640524209780501224e+02	-6.813103351088727777e+01
-2.407718817063681911e+02	1.035268669199023783e+01
1.293749777122243131e+03	-4.544413402209477226e+01
-2.407718817063681911e+02	1.035268669199023783e+01
9.222304668647441872e+01	8.566626440035213008e+00
-1.294230668773049615e+02	2.407832151242452667e+01
-2.407718817063681911e+02	1.035268669199023783e+01
-2.407718817063681911e+02	1.035268669199023783e+01
-2.407718817063681911e+02	1.035268669199023783e+01
1.322767702177936258e+02	1.115258807352655595e+02
-2.407718817063681911e+02	1.035268669199023783e+01
-6.930626907341959964e+01	-2.950947037562091779e+01
-2.920601524518606595e+01	8.748084805321379065e+01
-1.096011125760262104e+02	2.567365713927895854e+01
-2.407718817063681911e+02	1.035268669199023783e+01
-2.407718817063681911e+02	1.035268669199023783e+01
9.388333897945121862e+02	1.711169838495273723e+02
-2.407718817063681911e+02	1.035268669199023783e+01
-2.407718817063681911e+02	1.035268669199023783e+01
2.693274787897071576e+01	-8.888210910318544222e+01
4.090696200899650194e+03	3.534699322701291067e+02
6.866384010219289848e+02	7.450260242644982611e+01
-2.407601393857253527e+02	1.033640493542369398e+01
6.990435389158113821e+02	-1.771604943515728223e+02
-2.407718817063681911e+02	1.035268669199023783e+01
-2.407718817063681911e+02	1.035268669199023783e+01
-2.407718817063681911e+02	1.035268669199023783e+01
1.364907502735648848e+02	3.513182960052043313e+01
2.553299484324489583e+02	-2.297579074783778879e+02
2.580709020259586168e+02	-9.681739897364839464e+01
-2.407718817063681911e+02	1.035268669199023783e+01
3.719212007496295769e+01	8.523713989564573978e+01
-9.228157863967248886e+01	-1.328600761470072911e+01
-2.407718817063681911e+02	1.035268669199023783e+01
-1.816833274967779630e+02	1.210090602813521521e+01
-2.407718817063681911e+02	1.035268669199023783e+01
4.898001605825930369e+02	-9.904996609013889497e+01
-2.407718817063681911e+02	1.035268669199023783e+01
-2.407718817063681911e+02	1.035268669199023783e+01
1.853049304238414834e+02	-1.183542962279243937e+02
-1.447761100177955313e+02	3.356661001873080608e+01
-2.407718817063681911e+02	1.035268669199023783e+01
-2.293873034167950777e+02	1.358788547505437094e+01
-2.407718817063681911e+02	1.035268669199023783e+01
2.899831260073286288e+01	-5.894890794380452093e+01
-2.407718817063681911e+02	1.035268669199023783e+01
-2.407718817063681911e+02	1.035268669199023783e+01
-2.407718817063681911e+02	1.035268669199023783e+01
9.738786304419458020e+02	1.163236714238944671e+02
-2.342526318368675788e+02	1.064993951049109278e+01
-2.407718817063681911e+02	1.035268669199023783e+01
-2.407718817063681911e+02	1.035268669199023783e+01
-2.407601393857253527e+02	1.033640493542369398e+01
5.524787771001434749e+02	-2.217175143082185400e+02
-2.407718817063681911e+02	1.035268669199023783e+01
-2.407718817063681911e+02	1.035268669199023783e+01
1.019274135800921215e+02	4.987282127266321652e+01
-2.158342863734281707e+02	4.919164023105707884e+00
-2.407718817063681911e+02	1.035268669199023783e+01
-2.407718817063681911e+02	1.035268669199023783e+01
-2.407718817063681911e+02	1.035268669199023783e+01
5.071036906789414900e+01	2.201642587780007432e+01
-2.407718817063681911e+02	1.035268669199023783e+01
-1.324152995552551317e+02	2.732260206086888132e+01
-2.407718817063681911e+02	1.035268669199023783e+01
1.685334075598976597e+03	-2.880209051981947255e+02
1.478538299522494697e+02	-3.203442767162282223e+01
-2.407718817063681911e+02	1.035268669199023783e+01
-2.407718817063681911e+02	1.035268669199023783e+01
-2.407718817063681911e+02	1.035268669199023783e+01
-2.166069749531466186e+02	-6.863323786208530564e-02
-2.407718817063681911e+02	1.035268669199023783e+01
-1.299109783026448213e+02	1.770531434979772811e+01
-2.407718817063681911e+02	1.035268669199023783e+01
-2.407718817063681911e+02	1.035268669199023783e+01
1.940549985556154525e+03	2.552008317902867063e+01
-2.407718817063681911e+02	1.035268669199023783e+01
-8.096786171801207743e+00	2.752395180697338350e+00
-1.153426777478872722e+01	4.317399217470830664e+00
5.635287808494042139e+01	1.989728728660430690e+01
-2.407601393857253527e+02	1.033640493542369398e+01
-8.451208094416261929e+01	-8.711836192627494313e+00
-1.099498963667382156e+02	1.175246000720421291e+00
-2.407718817063681911e+02	1.035268669199023783e+01
-1.091194287631671784e+02	-5.908212232595567492e+00
-2.407718817063681911e+02	1.035268669199023783e+01
-3.918997237894649288e+01	3.080916031765232432e+00
-2.407718817063681911e+02	1.035268669199023783e+01
-1.290311709980442743e+02	1.337567412474230366e+01
-2.407718817063681911e+02	1.035268669199023783e+01
-2.407718817063681911e+02	1.035268669199023783e+01
-2.407718817063681911e+02	1.035268669199023783e+01
1.470621038910316258e+02	-3.221076033639375424e+01
-2.407718817063681911e+02	1.035268669199023783e+01
-2.407718817063681911e+02	1.035268669199023783e+01
-1.705690664797621707e+02	1.757301214830333080e+01
-2.338346776644428076e+02	1.202344963209855067e+01
-2.407718817063681911e+02	1.035268669199023783e+01
-2.407718817063681911e+02	1.035268669199023783e+01
5.165181260464984234e+02	-2.140553807140044285e+01
2.319241728486596912e+03	-1.863882727395117627e+02
-2.407718817063681911e+02	1.035268669199023783e+01
6.773724623558267695e+02	1.730484714589578843e+01
-2.407718817063681911e+02	1.035268669199023783e+01
-8.626111027983934321e+01	3.658515313374147127e+01
-2.407718817063681911e+02	1.035268669199023783e+01
-2.407718817063681911e+02	1.035268669199023783e+01
-2.407718817063681911e+02	1.035268669199023783e+01
2.145647277603155487e+02	6.351246250532893711e+00
-2.407718817063681911e+02	1.035268669199023783e+01
-2.375215403232021458e+02	1.127046397431018576e+01
-2.407718817063681911e+02	1.035268669199023783e+01
-2.407718817063681911e+02	1.035268669199023783e+01
-2.407718817063681911e+02	1.035268669199023783e+01
5.299382420610183999e+02	2.971902063672219896e+01
-2.407718817063681911e+02	1.035268669199023783e+01
1.493390461089831831e+02	-5.841071467800468042e+01
-1.468232344037041912e+02	1.251115907887347589e+01
-2.407718817063681911e+02	1.035268669199023783e+01
-2.407718817063681911e+02	1.035268669199023783e+01
1.574980052272510704e+02	2.254005737448115454e+01
6.487321008315549307e+02	4.263297183714276173e+01
3.020243310092805018e+02	-1.732102991998427228e+02
2.892123577544450086e+02	1.476673474732680802e+02
5.156794579458443195e+02	-3.830020184010167128e+01
4.679071319530826827e+02	2.868088982542554177e+01
5.323727665453214968e+02	-3.187256007766562504e+01
4.242015516769612304e+01	6.007963501769613401e+01
-1.907097264817880671e+02	-1.424330433789912753e+01
-2.407718817063681911e+02	1.035268669199023783e+01
4.494635391138837690e+02	4.854325933341874588e+01
-1.442450276501378710e+02	4.101818676056174695e+01
6.232596820078360622e+01	8.524385700670995547e+00
-2.407718817063681911e+02	1.035268669199023783e+01
-1.704258356776534811e+02	5.404459578608308057e+00
-2.407718817063681911e+02	1.035268669199023783e+01
-2.407718817063681911e+02	1.035268669199023783e+01
5.736850101701191988e+02	-6.629443377586586905e+01
5.040014768348380585e+02	-2.678540490586946277e+01
-9.164654005176618057e+01	-4.345465995187199582e+01
-2.407718817063681911e+02	1.035268669199023783e+01
-1.149882046223085581e+02	4.096762395694630499e+01
3.312900481193436164e+00	4.832012821008714099e+01
-2.407718817063681911e+02	1.035268669199023783e+01
6.977166978697280229e+02	5.095388051577855890e+02
-2.407718817063681911e+02	1.035268669199023783e+01
1.488672962735901422e+02	4.965532888279351909e+01
-2.407718817063681911e+02	1.035268669199023783e+01
-1.604939136607629848e+02	-4.182689782830013137e+00
1.995006910245998142e+03	-2.600615424235824946e+01
6.330368041270340029e+01	-3.718061575382048289e+01
-2.407718817063681911e+02	1.035268669199023783e+01
-2.407718817063681911e+02	1.035268669199023783e+01
2.608897230000551417e+02	4.659100620840099083e+01
-2.407718817063681911e+02	1.035268669199023783e+01
3.755371273560784289e+02	-5.346902587270576213e+00
-2.104128636058920279e+02	8.084829647475039849e+00
4.815942975796608039e+02	-1.229017169715283941e+01
-2.407718817063681911e+02	1.035268669199023783e+01
7.017557146611561620e+02	-1.382987513827728492e+02
-2.407718817063681911e+02	1.035268669199023783e+01
-1.577443231144833931e+02	3.669028857797025722e+01
-2.407718817063681911e+02	1.035268669199023783e+01
2.635854401330098540e+02	7.824575128971510196e+01
-2.248137571237758152e+02	1.289158704076792539e+01
-2.407718817063681911e+02	1.035268669199023783e+01
-2.407718817063681911e+02	1.035268669199023783e+01
3.342559738789718722e+02	-7.173611727854132880e+01
-2.407718817063681911e+02	1.035268669199023783e+01
-2.407718817063681911e+02	1.035268669199023783e+01
9.827610431877225210e+02	-2.429115643972384646e+02
-1.815300452521318064e+01	1.925851547573960332e+01
-1.090054457058747772e+02	2.596039560600516793e+01
2.808680221876157930e+02	-4.063922697573416798e+01
2.508182677750958334e+01	4.633049482911275163e+01
-2.407718817063681911e+02	1.035268669199023783e+01
8.296685126868473503e+01	-1.741200917866724041e+01
-2.407601393857253527e+02	1.033640493542369398e+01
-2.241099748805472913e+01	-5.609905555437318725e+01
-1.140831713766845610e+02	3.045363381209948983e+00
3.900545342713738819e+02	-9.589517051870441833e+01
