id	age	country	pd1	pd2	pd3	ps1	ps2	ps3	sl1	sl2	sl3	r1	r2	r3	t1	t2	t3	t4	um1	um2	um3	um4	um5	um6
2594254	27	US	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0
2595729	25	US	35	27.0	23.900809594480105	8	7.0	6.7075688062025005	34	44.0	21.616610969864936	2	3	8	156	471	419	148	0.1088	0.2301	0.4519	130	275	540
2008195	29	DE	34	32.5	31.657345119261027	9	8.5	3.1134992453861954	50	55.0	9.1059523031333072	10	9	10	0	27	97	27	0.7171	0.8092	0.9671	109	123	147
2240642	31	US	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0
1066173	51	US	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0
3746297	27	US	32	33.5	21.082509865341514	14	15.0	5.3426939551339503	47	52.0	9.5403223991272927	2	2	12	86	48	44	25	0.2647	0.3627	0.9657	54	74	197
2964265	29	US	0	0.0	0.0	2	2.0	0.0	0	0.0	0.0	2	2	2	0	0	1	0	0.5	0.5	0.5	1	1	1
3160326	29	US	36	36.5	36.5	9	12.0	4.855949640758257	41	54.0	20.64215990229944	10	10	10	0	0	23	73	0.701	0.8454	0.9897	68	82	96
3162021	27	FI	30	19.0	28.166635848109372	12	13.0	6.4069693458254573	46	55.0	18.308558266153124	1	2	12	0	118	347	302	0.0755	0.3229	0.7135	58	248	548
3784215	34	UK	30	25.0	29.214827961833119	13	11.5	7.9018985060553639	45	53.0	16.069458609424277	4	2	8	0	13	148	118	0.2585	0.602	0.6871	76	177	202
2769779	33	US	26	21.0	28.375128704449654	14	13.5	6.143961579379293	51	55.0	7.2513169302011775	3	5	13	42	0	169	149	0.099	0.2083	0.4271	38	80	164
5604445	26	NL	29	23.0	27.186264372317538	12	13.0	7.376076009152472	42	54.0	20.235555777335584	8	6	6	5	91	260	239	0.473	0.7057	0.9445	307	458	613
2749627	28	AT	33	18.0	34.052676474640073	11	12.0	7.3116072104565353	41	53.0	20.832820260348818	2	4	11	63	41	274	182	0.1478	0.491	0.7603	90	299	463
2337075	28	SE	20	21.0	12.367699866992245	9	10.0	6.2085508381437595	39	53.0	21.6878509594323	2	3	9	0	214	209	26	0.1467	0.3889	0.7756	66	175	349
2033209	34	JP	46	49.0	34.44434965477641	10	11.0	5.3980334782306363	46	54.0	17.032807848674761	1	0	1	253	50	124	43	0.2962	0.5755	0.6396	157	305	339
4262030	32	BR	33	28.0	27.438330921918674	10	10.0	7.1522463623453065	38	47.5	19.919713419097228	2	1	10	163	50	278	257	0.2052	0.3905	0.857	165	314	689
2116258	28	US	20	7.0	25.426966241470847	12	12.5	2.9154759474226504	51	54.5	5.4365021434333638	13	12	12	2	69	71	17	0.7952	0.8855	0.9759	132	147	162
2598175	27	DK	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0
4201400	26	UA	20	17.0	21.655465445782259	7	6.0	5.9604791804496129	42	53.0	19.102382772378867	1	2	4	54	76	109	126	0.2308	0.6605	0.939	87	249	354
3148594	32	JP	65	61.0	39.648503458902617	10	11.0	4.1879803749610973	49	53.0	12.420917115671584	3	4	9	466	374	395	449	0.1878	0.6727	0.6928	354	1268	1306
9792751	25	HR	40	33.0	37.507349262501499	13	13.0	8.4496153484947918	41	52.0	20.680184226825723	3	3	12	39	356	435	422	0.1142	0.4726	0.6157	154	637	830
3256256	28	RU	43	40.0	33.142086974028693	12	10.0	12.521018813671134	36	47.0	21.303993021776101	5	4	7	105	187	534	289	0.2034	0.661	0.4424	240	780	522
5240132	30	SE	73	60.0	56.441160322622679	11	13.0	5.4710509008035801	44	54.0	18.715512500684177	9	9	11	192	533	764	830	0.1283	0.3861	0.4009	312	939	975
5234254	22	UK	46	44.0	24.966993669431197	8	9.0	6.0673894127305132	37	47.5	20.324825224541623	3	4	9	147	118	388	658	0.1014	0.3621	0.5844	140	500	807
519	39	US	11	4.5	16.974563395537917	7	6.0	6.3390703926579564	31	44.0	24.516951947267756	7	6	7	2	38	167	19	0.5154	0.7401	0.9383	117	168	213
5202459	31	US	57	57.0	35.791608499775322	10	10.0	5.3887531344748023	45	52.0	16.326206352071374	1	1	10	271	468	578	377	0.1141	0.2749	0.8265	198	477	1434
591	33	SE	8	5.0	8.3162349241474338	12	14.0	7.2138755187485737	38	49.5	20.891385784576379	12	8	13	0	29	114	0	0.5625	0.7431	0.7986	81	107	115
3556991	33	DE	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0
3463909	29	PL	17	17.0	12.384832117852707	8	9.0	6.2309750659836594	35	45.0	21.595880952548175	2	3	7	38	78	108	276	0.1499	0.4863	0.4589	82	266	251
694	37	FR	22	14.0	21.752159952175646	12	11.0	6.0503125504087238	48	54.0	12.772779676226087	6	4	12	0	88	99	291	0.404	0.5717	0.8707	200	283	431
2952884	30	CA	21	17.5	16.494238914098823	9	11.0	6.4543377379210662	37	50.0	21.440638002032362	9	9	10	123	17	93	232	0.5762	0.7974	0.8903	310	429	479
