id	age	country	pd1	pd2	pd3	ps1	ps2	ps3	sl1	sl2	sl3	r1	r2	r3	t1	t2	t3	t4	um1	um2	um3	um4	um5	um6
2594254	27	US	0	0.0	0.0	2	2.0	0.0	0	0.0	0.0	2	2	2	0	1	0	0	0.5	0.5	0.5	1	1	1
2595729	25	US	44	42.0	25.245712836971926	7	8.0	5.2434813934651805	38	50.0	20.721594486721635	2	3	8	115	653	355	236	0.0662	0.1868	0.4037	90	254	549
2008195	29	DE	8	6.0	7.4833147735478827	12	17.0	8.5244745683629475	25	24.0	21.249836600678972	4	2	10	0	38	0	0	0.5385	0.641	0.9744	21	25	38
2240642	31	US	19	16.5	14.286745994491225	8	8.0	5.9112867175934181	34	47.5	22.443226432454239	5	5	9	2	304	74	10	0.0767	0.1995	0.6266	30	78	245
1066173	51	US	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0
3746297	27	US	17	11.5	20.090793911640226	19	21.0	11.560896201750724	39	41.0	18.605720612386204	2	2	11	122	57	4	0	0.1848	0.3424	0.663	34	63	122
2964265	29	US	3	3.0	3.0	10	14.0	6.3770421565696633	29	34.0	22.291004663067316	7	5	5	0	29	7	0	0.7838	0.9459	0.973	29	35	36
3160326	29	US	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0
3162021	27	FI	25	23.0	20.674962675483915	9	11.0	5.8574037545623696	40	53.0	21.5612237224606	1	3	9	0	118	429	202	0.1	0.4827	0.748	75	362	561
3784215	34	UK	32	18.0	34.952676578482517	13	13.0	10.424360039862847	40	51.0	19.622569777954009	1	2	11	88	156	305	275	0.0811	0.3055	0.7351	68	256	616
2769779	33	US	17	16.0	15.098231592548256	7	7.0	5.7940978804239993	32	45.0	23.553884064957405	5	5	7	15	48	181	210	0.3619	0.6488	0.7066	169	303	330
5604445	26	NL	39	34.0	31.709277205095123	11	11.0	6.4746870211741232	40	51.0	20.135289475730623	6	3	6	9	307	300	295	0.3603	0.7452	0.8593	338	699	806
2749627	28	AT	37	34.0	31.186943516441954	12	12.0	7.6796229722910097	41	52.0	19.948112623299327	3	4	11	22	392	506	185	0.1881	0.4215	0.748	212	475	843
