id	age	country	pd1	pd2	pd3	ps1	ps2	ps3	sl1	sl2	sl3	r1	r2	r3	t1	t2	t3	t4	um1	um2	um3	um4	um5	um6
2594254	27	US	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0
2595729	25	US	37	33.5	29.52138584521774	7	8.0	5.2074374489803779	37	48.0	20.8089244764952	2	3	7	226	446	505	131	0.1299	0.2246	0.3911	170	294	512
2008195	29	DE	26	28.0	18.011334299970841	9	9.0	7.4780483098924044	37	49.0	21.317803673516742	5	2	8	0	305	280	12	0.4515	0.704	0.898	270	421	537
2240642	31	US	10	8.0	11.554040197062942	7	6.5	6.2732899396302946	30	29.0	23.107500886556775	5	6	8	3	84	121	14	0.3363	0.5022	0.8296	75	112	185
1066173	51	US	69	60.5	50.492914738362145	9	10.0	4.5706069801057314	46	53.0	16.201802849456513	9	7	9	256	650	1028	72	0.3079	0.6163	0.8236	618	1237	1653
3746297	27	US	20	20.5	20.5	19	17.0	7.1336448530108996	48	51.0	4.9665548085837798	2	3	16	0	42	29	0	0.0833	0.1389	0.8194	6	10	59
2964265	29	US	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0
3160326	29	US	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0
3162021	27	FI	37	34.0	25.223872964178582	10	11.0	6.0841048117982588	39	53.0	22.327545542240607	1	3	10	2	85	244	399	0.0644	0.1933	0.4309	48	144	321
3784215	34	UK	4	4.0	3.2659863237109041	7	7.5	2.5	42	42.5	10.5	1	0	5	0	5	13	0	0.1053	0.9474	0.9474	2	18	18
2769779	33	US	20	12.5	25.042164443194608	10	10.0	7.7585928705467246	35	45.0	21.217300712512912	11	10	11	5	131	220	74	0.3889	0.6227	0.7176	168	269	310
5604445	26	NL	24	21.0	17.865533742890733	9	10.0	7.3329924247565605	34	45.0	23.235254092579108	5	4	4	6	183	278	253	0.2524	0.6408	0.8613	182	462	621
2749627	28	AT	56	58.0	37.28521825066872	11	12.5	6.9159167127758359	42	53.0	19.756983363671008	2	3	11	42	467	502	354	0.1303	0.478	0.7163	181	664	995
2337075	28	SE	42	31.0	35.375562186345533	9	10.0	4.959205689145211	42	51.0	18.88446036282259	6	6	9	52	555	467	44	0.2018	0.5062	0.6518	226	567	730
2033209	34	JP	27	26.0	24.142434484888696	13	14.5	10.26784161489509	39	55.0	23.831144944961313	0	0	1	91	11	62	27	0.655	0.675	0.075	131	135	15
4262030	32	BR	47	35.0	38.564800742810831	12	13.0	5.8615108021991675	49	54.0	14.002836009977194	2	1	11	111	139	493	419	0.1622	0.4084	0.842	193	486	1002
2116258	28	US	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0
2598175	27	DK	2	2.0	1.6329931618554521	5	5.0	0.0	17	17.0	0.0	3	3	4	0	0	3	6	0.6	0.5	0.9	6	5	9
4201400	26	UA	64	64.5	64.5	16	16.0	2.7810744326608736	56	57.0	2.3979157616563596	0	2	2	32	0	0	98	0.027	0.9527	0.9932	4	141	147
3148594	32	JP	16	17.0	10.624182975122789	8	8.0	5.4166772621214445	34	46.0	22.593241145407745	2	3	6	32	112	95	145	0.1927	0.7829	0.861	79	321	353
9792751	25	HR	26	16.0	23.458817440409891	13	15.0	9.0682169217291495	37	49.0	21.654796987229862	1	5	14	57	281	120	119	0.0183	0.3289	0.4402	11	198	265
3256256	28	RU	23	17.5	21.812270581693095	8	8.0	6.2096864903368649	33	50.0	23.640760110106751	3	4	7	0	247	344	47	0.2296	0.5716	0.5701	149	371	370
5240132	30	SE	64	66.0	32.344087558624992	11	12.0	4.6218082079540155	47	54.0	16.21885006385132	11	10	11	12	689	609	41	0.3099	0.568	0.6428	419	768	869
5234254	22	UK	18	18.5	13.47915056670857	9	8.0	4.3330716823151718	43	46.0	10.484196075376442	2	3	8	12	47	16	3	0.4051	0.5063	0.9873	32	40	78
519	39	US	23	24.0	13.102162671355696	10	10.5	4.0173235977313162	48	55.0	12.893527661410417	11	10	11	13	76	55	0	0.6897	0.8345	0.931	100	121	135
5202459	31	US	61	59.0	38.889458878860815	12	12.5	5.463460568747923	48	54.0	13.451039989182624	4	1	11	605	529	713	51	0.2486	0.5361	0.8605	472	1018	1634
591	33	SE	22	15.5	18.49530721261177	8	6.5	7.4888064617949786	29	34.0	23.152297702148033	4	5	7	65	202	283	33	0.2466	0.6284	0.7243	144	367	423
3556991	33	DE	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0
3463909	29	PL	26	19.0	27.170747641723217	7	7.0	5.2552572279438401	37	46.0	20.891401530168743	3	3	7	46	129	351	107	0.2523	0.356	0.5495	163	230	355
694	37	FR	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0
2952884	30	CA	31	26.0	33.218535102863356	11	12.0	6.1629751607946552	41	51.0	19.834046774386092	10	10	12	12	38	278	390	0.5908	0.7685	0.8836	462	601	691
2950766	26	US	22	21.0	18.856180831641264	11	10.0	11.08941248453125	27	14.0	24.207551304628165	0	1	3	75	107	29	38	0.02	0.744	0.9	5	186	225
