id	age	country	pd1	pd2	pd3	ps1	ps2	ps3	sl1	sl2	sl3	r1	r2	r3	t1	t2	t3	t4	um1	um2	um3	um4	um5	um6
2594254	27	US	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0
2595729	25	US	26	23.0	22.674367710977343	6	7.0	4.8669609547723081	32	44.0	21.941489141793788	3	3	7	174	335	210	131	0.094	0.2515	0.4501	80	214	383
2008195	29	DE	26	26.0	22.447438988596815	8	9.0	6.7226761784277542	35	48.5	22.513298153535835	5	3	7	0	310	414	63	0.3985	0.7043	0.8883	314	555	700
2240642	31	US	16	14.0	12.609024545935345	9	9.0	6.4628295730249148	36	43.0	19.267848867997692	10	9	10	7	197	117	48	0.2676	0.5162	0.6351	99	191	235
1066173	51	US	51	45.0	38.449459936229999	9	10.0	7.0909998987027372	36	47.0	20.945007168426766	8	7	7	350	335	721	113	0.1795	0.499	0.668	273	759	1016
3746297	27	US	15	11.0	11.186726828829652	9	9.0	7.4381075406975832	34	47.0	22.564830990573274	2	2	9	25	56	62	0	0.1458	0.1806	0.7847	21	26	113
2964265	29	US	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0
3160326	29	US	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0
3162021	27	FI	20	19.5	14.900508311094425	12	14.0	5.660295042446994	46	55.0	18.505725364918121	1	3	12	21	103	151	296	0.0448	0.2189	0.5357	27	132	323
3784215	34	UK	5	6.0	3.1368774282716245	13	16.0	5.2493385826745405	38	43.0	11.897712198383164	2	2	12	0	0	7	41	0.1224	0.3469	0.9184	6	17	45
2769779	33	US	51	38.0	48.027986632795674	11	13.0	4.5640387626519585	45	54.0	18.203197559332345	10	10	11	98	198	36	59	0.3522	0.5556	0.7258	149	235	307
5604445	26	NL	27	20.5	23.43396736462439	11	10.0	6.8563828078003786	40	52.5	20.727834457602537	7	6	6	22	102	335	163	0.3365	0.5566	0.8774	214	354	558
2749627	28	AT	38	35.0	25.850303388068749	11	12.0	6.5327191633798263	41	51.0	19.550807451922815	3	4	11	41	221	382	247	0.1456	0.4736	0.6962	138	449	660
2337075	28	SE	59	73.0	37.820439358504572	10	10.0	4.7421016801278322	47	53.0	14.652281133107842	6	6	10	175	725	518	26	0.1708	0.5104	0.6798	247	738	983
2033209	34	JP	25	15.0	28.52484297356721	12	14.0	4.539996723339554	48	55.0	16.044359993571131	0	0	0	10	0	70	81	0.5802	0.5926	0.6173	94	96	100
4262030	32	BR	30	15.5	30.818718150334416	10	11.0	5.8523445739158051	42	52.0	20.00668822409509	1	1	9	77	79	230	341	0.1165	0.2463	0.7845	87	184	586
2116258	28	US	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0
2598175	27	DK	19	21.0	12.658593918757328	12	10.0	8.6737751296652839	35	44.5	21.701094442446905	10	9	13	0	0	54	57	0.5948	0.8362	0.8534	69	97	99
4201400	26	UA	0	0.0	0.0	3	3.0	0.0	24	24.0	0.0	1	3	5	0	0	0	9	0.1	0.7	0.9	1	7	9
3148594	32	JP	18	17.0	14.772954689218496	7	8.0	5.8693948511211405	33	45.0	22.075219276882592	3	3	6	31	262	98	185	0.3124	0.7769	0.8165	189	470	494
9792751	25	HR	22	15.5	20.2020071713184	12	10.0	11.046397277844898	36	49.0	22.740722914367829	1	1	12	46	183	101	79	0.0721	0.3198	0.8739	32	142	388
3256256	28	RU	62	50.0	67.34455352059949	12	12.0	4.7721636294631793	49	54.0	13.439744465648859	7	4	11	83	336	414	172	0.1649	0.8156	0.4907	169	836	503
5240132	30	SE	27	16.0	27.806154394705903	11	12.0	6.9245120973759313	43	52.0	19.861205767061286	11	10	11	0	175	219	40	0.4118	0.6318	0.7625	189	290	350
5234254	22	UK	15	14.0	11.05059073332985	13	13.5	8.5948294776569014	41	51.5	20.037464909513879	5	7	13	16	55	121	30	0.2056	0.6613	0.8266	51	164	205
519	39	US	41	25.0	50.43463459631591	12	12.0	8.8136412514263114	41	53.5	21.079766980773741	10	9	12	25	546	491	62	0.2373	0.4622	0.7138	267	520	803
5202459	31	US	47	42.0	32.860277839526006	11	11.0	8.9553735142667072	39	50.0	20.330411028751499	2	1	7	188	644	548	88	0.2465	0.4462	0.8758	369	668	1311
