f1	f2
-2.909913573426729272e+02	1.718001812817112395e+01
6.907704998199068314e+02	-1.941947980559931466e+02
8.153273558066148325e+02	-6.619127820623226910e+01
2.114165413029734282e+02	3.790318948444578240e+01
1.021226530498565580e+03	-4.525490101367858387e+01
-2.216884968070204707e+02	-4.967610725119940618e+00
-2.909913573431319946e+02	1.718001812816595475e+01
-2.909913573431435339e+02	1.718001812813968598e+01
2.147824258038897085e+02	-2.231107941506968757e+02
-1.621439793106796401e+02	-1.227623229881290889e+01
-3.028425383678870375e+01	3.627657030333767807e+01
1.250456866242465821e+03	-2.196882219191559500e+02
1.703280550069172705e+03	-1.739806011243883574e+02
1.125689019833910152e+03	9.061309658860957938e+01
-2.767983593416981876e+02	1.470590853428495315e+01
4.061143317841805356e+02	-4.793551631989424067e+01
-2.909913573431405212e+02	1.718001812814792117e+01
-2.909913573431085183e+02	1.718001812816401142e+01
-1.823137543251859825e+02	-1.638108560009034065e+01
2.437723181314184444e+02	1.348258949222546299e+01
8.546463781018464090e+01	1.253369322480698322e+01
4.092383063247393125e+02	2.430336837915488246e+01
-2.909913573431248892e+02	1.718001812815658624e+01
-9.998946630721472673e+01	-2.343724552742082246e+00
-2.349413781451821706e+02	1.588973086550788061e+00
1.713094351110574507e+03	-1.083053148302519588e+02
3.961442610041091825e+02	-6.626398967066783996e+01
-2.909913573431248892e+02	1.718001812815658624e+01
3.572801963225178383e+02	-1.065843723153617333e+02
-2.909913573431248892e+02	1.718001812815658624e+01
1.494901575154580087e+03	1.032586464711281167e+02
-3.152789548192124514e+01	1.240816210471223258e+01
3.965467149665290663e+02	-1.149426200167886662e+02
1.031117611733843518e+02	1.183008027625833734e+02
1.965289048812101100e+02	-8.380864478931633244e+01
-2.909913573431248892e+02	1.718001812815658624e+01
-2.909913573431248892e+02	1.718001812815658624e+01
-3.817107045814663735e+01	7.523236934638508444e+01
-2.909913573431248892e+02	1.718001812815658624e+01
-2.909913573431248892e+02	1.718001812815658624e+01
-4.901262519108335169e+01	-7.211815300095729242e+01
5.854964944771772025e+03	1.134871715049040176e+03
3.214174865703000705e+02	1.834127928157183263e+01
-2.909913573431248892e+02	1.718001812815658624e+01
4.357629091118486713e+02	-1.468006479319647042e+02
-2.841345806084702303e+02	1.675000620740381407e+01
-2.909913573431248892e+02	1.718001812815658624e+01
-9.555185283726905254e+01	3.973869561779376625e+01
2.172923573833911348e+02	-1.810289796963190767e+01
1.299807093830148972e+02	-7.525793941526173114e+01
7.106419973582551108e+01	-6.733205335880180087e+01
-2.909913573431248892e+02	1.718001812815658624e+01
-2.909913573431248892e+02	1.718001812815658624e+01
-1.236553809593347353e+02	-4.555319227650910818e+01
1.842611771509651533e+02	-8.734615692229721162e+01
-2.909913573431248892e+02	1.718001812815658624e+01
-2.909913573431248892e+02	1.718001812815658624e+01
-2.563664084494417921e+02	2.639422747203673758e+00
-2.909913573431248892e+02	1.718001812815658624e+01
-2.909913573431248892e+02	1.718001812815658624e+01
1.241843328505919573e+02	-7.042813360642830389e+01
-1.706496649888977970e+02	1.478645887954139315e+00
4.831486981028383099e+01	-1.411202035125980991e+01
-1.669858172840214365e+02	3.478112258612154051e+01
-2.909913573431248892e+02	1.718001812815658624e+01
-2.625750812802769474e+01	2.162129718082819707e+01
-2.893160105224654330e+02	1.726622972471695050e+01
-2.909913573431248892e+02	1.718001812815658624e+01
-2.909913573431248892e+02	1.718001812815658624e+01
6.933192015074645269e+02	-4.514390220531595332e+01
-2.399636366224577557e+02	9.913627390411596352e+00
-2.909913573431248892e+02	1.718001812815658624e+01
-2.699275613900234703e+02	1.333520079154062543e+01
-5.881433156006306007e+01	-2.127774319469852315e+01
5.576933947733167543e+02	-1.651935849819785460e+02
-2.909913573431248892e+02	1.718001812815658624e+01
-2.909913573431248892e+02	1.718001812815658624e+01
4.080591141500957519e+02	8.674151340263622956e+01
-2.608532418704532461e+02	1.632648911995842411e+01
-2.909913573431248892e+02	1.718001812815658624e+01
2.306051013588456158e+02	-2.169224172863102873e-01
-2.909913573431248892e+02	1.718001812815658624e+01
-1.689819034705715524e+02	-1.379302047663391928e+00
-2.909913573431248892e+02	1.718001812815658624e+01
-2.531633798227007901e+02	2.792150169185470432e+01
-2.909913573431248892e+02	1.718001812815658624e+01
1.611036276538910442e+03	-4.595590018278257389e+02
-2.349359745752401523e+02	-5.443043817691263442e+00
-2.909913573431248892e+02	1.718001812815658624e+01
-2.909913573431248892e+02	1.718001812815658624e+01
-2.909913573431248892e+02	1.718001812815658624e+01
3.682295377900809967e+02	-1.253230551622270923e+02
-2.909913573431248892e+02	1.718001812815658624e+01
-2.311525001956597976e+02	1.592517611825625146e+01
-2.909913573431248892e+02	1.718001812815658624e+01
-2.909913573431248892e+02	1.718001812815658624e+01
2.007922770778526228e+03	-9.106285673198019737e+00
-2.909913573431248892e+02	1.718001812815658624e+01
-1.012620927609385575e+02	4.026138301258090024e+01
-1.062796576797116472e+02	1.760967806568468674e+01
1.461960878253991268e+03	5.426044673951641926e+02
-2.626101020656001310e+02	1.394177121298539745e+01
-2.909913573431248892e+02	1.718001812815658624e+01
-2.909913573431248892e+02	1.718001812815658624e+01
2.599073925463536625e+02	-8.570623229214854533e+00
-2.360641008333684852e+02	3.938879180975817462e+00
-2.909913573431248892e+02	1.718001812815658624e+01
-1.139229095796858786e+02	1.404187975581024972e+01
-2.909913573431248892e+02	1.718001812815658624e+01
-2.381369185523500853e+00	6.464253546310378340e+01
-2.909913573431248892e+02	1.718001812815658624e+01
4.339397324273165282e+02	1.635733445808460260e+02
-2.909913573431248892e+02	1.718001812815658624e+01
1.138835681513454290e+02	2.668165147539021120e+01
-2.909913573431248892e+02	1.718001812815658624e+01
-2.909913573431248892e+02	1.718001812815658624e+01
8.884101911372282245e+01	-2.072193942711335879e+01
-2.379795691527752126e+02	1.122914947169708277e+01
-1.443785377703590314e+02	3.757320185702889148e+01
-9.081354737358338980e+00	4.342505183664124502e+01
7.700342071266551329e+02	-1.544033915273210056e+01
