id	age	country	pd1	pd2	pd3	ps1	ps2	ps3	sl1	sl2	sl3	r1	r2	r3	t1	t2	t3	t4	um1	um2	um3	um4	um5	um6
2594254	27	US	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0
2595729	25	US	15	13.0	11.108176341445658	7	6.5	6.5328838523711283	26	28.5	20.177528418050226	3	3	7	176	110	178	16	0.1518	0.2765	0.5177	73	133	249
2008195	29	DE	0	0.0	0.0	4	4.0	0.0	33	33.0	0.0	6	3	6	0	5	0	0	0.8333	0.8333	0.8333	5	5	5
2240642	31	US	13	13.5	7.4833147735478827	14	11.0	9.7767319455238226	35	38.0	18.044573926791568	11	10	14	0	119	61	106	0.4218	0.6497	0.8776	124	191	258
1066173	51	US	92	75.0	75.089224137905802	16	11.0	16.935783239088867	40	49.0	18.879924568044714	8	7	8	310	625	1455	324	0.1595	0.3816	0.5727	433	1036	1555
3746297	27	US	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0
2964265	29	US	12	15.0	9.5335664307167285	9	11.0	6.4204534280860743	36	48.0	21.807873196011879	1	0	10	0	23	45	0	0.1884	0.8986	0.971	13	62	67
3160326	29	US	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0
3162021	27	FI	23	15.0	22.036333633342913	11	12.5	6.421655107601751	42	54.0	20.061265901601523	1	3	12	16	144	320	184	0.0527	0.2357	0.7379	36	161	504
3784215	34	UK	14	8.5	13.161853023035928	4	2.0	5.33583274767033	15	6.0	19.076247269223138	0	0	4	0	91	115	21	0.1434	0.3785	0.8606	36	95	216
2769779	33	US	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0
5604445	26	NL	37	28.5	32.359937508523643	9	9.0	6.6142158446538035	36	47.5	21.793212985500901	3	2	2	0	409	468	254	0.3068	0.7212	0.8654	351	825	990
2749627	28	AT	32	23.0	30.497550585513853	13	14.0	7.749452075412691	42	53.0	19.81381305023778	2	3	12	42	147	353	265	0.1634	0.6183	0.832	143	541	728
2337075	28	SE	30	28.0	19.280082987373266	9	9.0	6.6481003797157809	38	47.5	20.731562073543916	6	5	9	107	262	403	49	0.2287	0.4659	0.7068	188	383	581
2033209	34	JP	7	1.0	10.143416036468626	13	13.0	11.0	30	30.5	27.5	1	1	1	0	2	24	0	0.069	0.8276	0.8276	2	24	24
4262030	32	BR	25	20.0	19.011305901124093	9	10.0	6.1249943310631361	36	51.0	21.436339861708358	1	1	8	21	165	341	79	0.1016	0.2903	0.7887	63	180	489
2116258	28	US	30	28.0	23.646211817822604	8	8.0	6.9913610618468374	33	45.0	22.807265415858961	4	3	7	182	267	447	99	0.1586	0.3554	0.5612	158	354	559
2598175	27	DK	44	39.5	32.462439048531024	14	13.0	7.566142028161476	47	54.0	16.204292651825959	11	10	13	8	157	438	644	0.3105	0.5101	0.851	398	654	1091
4201400	26	UA	18	12.0	20.891086616066673	5	4.5	4.5549423706562955	30	32.0	21.154845780577084	1	3	4	14	0	66	61	0.2273	0.5714	0.987	35	88	152
3148594	32	JP	59	52.0	31.632894271628071	10	11.0	8.0184052068385672	37	47.5	21.01858480974121	3	3	8	46	620	540	594	0.1946	0.6005	0.7673	357	1102	1408
9792751	25	HR	7	7.0	5.2380817099392409	5	4.0	3.9752319599996264	28	26.0	18.850287354131588	0	3	6	0	11	22	38	0.1667	0.3472	0.6944	12	25	50
3256256	28	RU	28	23.0	24.30089161601552	10	10.0	6.0030578542196329	44	52.0	17.092870004365842	2	4	9	5	147	258	11	0.1563	0.4207	0.6782	68	183	295
5240132	30	SE	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0
5234254	22	UK	31	29.5	22.387992813609312	9	8.0	7.3405133399970426	37	44.5	19.05285651084581	1	1	7	115	111	264	226	0.1137	0.4444	0.6309	89	348	494
519	39	US	37	18.5	39.367126656094996	14	14.0	6.2587195374081013	50	55.0	13.311599366190014	12	11	15	58	281	454	76	0.3172	0.5368	0.7586	276	467	660
5202459	31	US	12	15.0	12.152097324649565	9	9.0	5.3840184175936523	38	51.0	19.911532733631262	3	2	5	14	11	75	0	0.4158	0.6238	0.9802	42	63	99
